M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
5376,131072,4096,0.48911995527962776,4773051.0,94715227.0,98735425185.0
7680,2048,4096,0.4935324445825363,85121.0,2104753.0,1806034330.0
7680,4096,4096,0.6711982522069229,167842.0,2371916.0,1398501734.0
7680,4608,4096,0.5877287705527295,250363.0,3634789.0,2058827239.0
7680,4864,4096,0.47799461336009585,258203.0,5175514.0,3024641873.0
7680,5376,4096,0.45928760838772675,263803.0,5972263.0,3486044745.0
7680,7680,4096,0.5741809966989742,347883.5,6313078.0,3532992995.5
7680,7936,4096,0.40693111929667164,359363.0,9854072.0,6077606327.0
7680,8192,4096,0.7411124439316443,352924.0,3299251.0,1775811586.0
7680,8448,4096,0.4031382971317428,365924.0,10567488.0,6564735606.0
7680,8704,4096,0.5839421164378478,366044.0,6940222.0,3830710234.5
7680,14080,4096,0.4401328810210605,636146.0,16295955.0,10301787399.5
7680,14336,4096,0.7303050961301635,628246.0,6162945.5,3660509785.5
7680,16128,4096,0.44540062683247794,723567.0,18449514.0,11176176122.0
7680,16384,4096,0.7374134924031629,710047.0,6744579.0,3987207786.0
7680,16640,4096,0.44516786627856986,730088.0,19045912.0,11718201200.0
7680,32512,4096,0.46899211593520845,1428454.0,35215491.0,22328057198.0
7680,32768,4096,0.6573874776225477,1377333.0,20006521.0,11762956310.0
7680,33024,4096,0.46449316845904876,1492334.5,36135462.0,21529349092.0
7680,65536,4096,0.4882236801047701,3363270.0,67728431.0,94279748027.0
7680,65792,4096,0.47882512608960853,3449314.0,69669170.0,98237906168.0
7680,66048,4096,0.47583681634513103,3367314.0,70418392.0,71779079020.0
7680,128256,4096,0.48138432198040887,6665827.0,134972268.0,129896950197.0
7680,130816,4096,0.4796478216082701,6819874.0,138212088.0,134581994314.0
7680,131072,4096,0.4860939428457734,6848348.5,136310610.0,138436432581.0
7936,2048,4096,0.4939189540302067,87001.0,2172760.0,1512149346.0
7936,4096,4096,0.672005757648807,169202.0,2442264.0,1427146144.0
7936,4608,4096,0.579572257318427,251622.5,3853036.5,2179317857.0
7936,4864,4096,0.4736641429271747,260323.0,5402346.0,3147951713.0
7936,5376,4096,0.4560502961211812,265403.0,6215994.5,3636966818.5
7936,7680,4096,0.580826112689275,352803.0,6390734.0,3549391532.0
7936,7936,4096,0.40690465442087376,363163.0,10182486.5,6195456839.5
7936,8192,4096,0.7427541975055607,351163.0,3374131.0,1865627711.0
7936,8448,4096,0.40341827350472403,369684.0,10913361.0,6673435239.0
7936,8704,4096,0.5802295928432873,437845.0,7255260.0,4097644037.0
7936,14080,4096,0.4404837934453687,642006.0,16828993.0,10446238314.0
7936,14336,4096,0.7350478494826465,632687.0,6193209.0,3647490239.0
7936,16128,4096,0.44583177332722845,733031.0,19047572.0,11331349289.0
7936,16384,4096,0.7407512802566488,717130.0,6827322.0,3977611614.0
7936,16640,4096,0.44607737307539247,738971.0,19641047.0,11872007676.0
7936,32512,4096,0.4681269136168491,1518602.0,36462000.5,22839203265.0
